LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
SM 34:3,SM 34:3,TRUE,699.5,184.1,3.733333333
SM 35:1,SM 35:1,TRUE,717.6,184.1,4.516666667
SM 35:2,SM 35:2,TRUE,715.6,184.1,4.183333333
SM 36:1,SM 36:1,TRUE,731.6,184.1,4.7
SM 36:2,SM 36:2,TRUE,729.6,184.1,4.383333333
SM 36:2 d9 (ISTD),SM 36:2[D9],TRUE,739.2,184.1,4.383333333
SM 36:3,SM 36:3,TRUE,727.6,184.1,4.083333333
SM 38:1,SM 38:1,TRUE,759.6,184.1,5.05
SM 38:2,SM 38:2,TRUE,757.6,184.1,4.216666667
SM 38:3,SM 38:3,TRUE,755.6,184.1,4.533333333
SM 39:1,SM 39:1,TRUE,773.7,184.1,5.216666667
SM 40:1,SM 40:1,TRUE,787.7,184.1,4.833333333
SM 40:2,SM 40:2,TRUE,785.7,184.1,4.566666667
SM 40:3,SM 40:3,TRUE,783.7,184.1,4.433333333
SM 41:1,SM 41:1,TRUE,801.7,184.1,5.516666667
SM 42:1,SM 42:1,TRUE,815.7,184.1,5.666666667
SM 42:2,SM 42:2,TRUE,813.7,184.1,5.383333333
SM 42:3,SM 42:3,TRUE,811.7,184.1,5.116666667
SM 43:1,SM 43:1,TRUE,829.7,184.1,5.8
SM 44:1,SM 44:1,TRUE,843.7,184.1,5.933333333
SM 44:2,SM 44:2,TRUE,843.7,184.1,5.65
TG 48:0 [-16:0],TG 16:0_32:0,TRUE,824.8,551.5,7.1
TG 48:0 [SIM],TG 48:0,TRUE,824.8,824.8,7.1
TG 48:1 [-18:1],TG 18:1_30:0,TRUE,822.8,523.5,6.966666667
TG 48:1 [SIM],TG 48:1,TRUE,822.8,822.8,6.966666667
TG 48:1 d7 [-15:0] (ISTD),TG 15:0[D7]_33:0,TRUE,829.4,570.3,6.966666667
TG 48:1 d7 [SIM] (ISTD),TG 48:1[D7],TRUE,829.4,829.4,6.966666667
TG 48:2 [-14:1],TG 14:1_34:1,TRUE,820.8,577.6,6.833333333
TG 48:2 [-16:0],TG 16:0_32:2,TRUE,820.8,547.5,6.833333333
TG 48:2 [-16:1],TG 16:1_32:1,TRUE,820.8,549.5,6.833333333
TG 48:2 [-18:1],TG 18:1_30:1,TRUE,820.8,521.5,6.833333333
TG 48:2 [SIM],TG 48:2,TRUE,820.7,820.7,6.833333333
TG 48:3 [-16:1],TG 16:1_32:2,TRUE,818.8,547.5,6.7
TG 48:3 [-18:2],TG 18:2_30:1,TRUE,818.8,521.5,6.7
TG 48:3 [SIM],TG 48:3,TRUE,818.7,818.7,6.7
TG 49:1 [-15:0],TG 15:0_34:1,TRUE,836.8,577.5,7.066666667
TG 49:1 [-16:0],TG 16:0_33:1,TRUE,836.8,563.5,7.066666667
TG 49:1 [-18:1],TG 18:1_31:0,TRUE,836.8,537.5,7.05
TG 49:1 [SIM],TG 49:1,TRUE,836.8,836.8,7.066666667
TG 50:0 [-18:0],TG 18:0_32:0,TRUE,852.8,551.5,7.233333333
TG 50:0 [SIM],TG 50:0,TRUE,852.8,852.8,7.233333333
TG 50:1 [-14:0],TG 14:0_36:1,TRUE,850.8,605.6,7.116666667
TG 50:1 [-18:1],TG 18:1_32:0,TRUE,850.8,551.5,7.116666667
TG 50:1 [SIM],TG 50:1,TRUE,850.8,850.8,7.116666667
TG 50:2 [-18:0],TG 18:0_32:2,TRUE,848.8,547.5,7
TG 50:2 [-18:1],TG 18:1_32:1,TRUE,848.8,549.5,6.983333333
